draw_date,n1,n2,n3,n4,n5,n6,jolly,superstar
2026-03-14,3,6,33,63,88,89,18,87
2026-03-13,3,11,13,20,53,61,88,43
2026-03-12,8,24,25,62,63,64,43,54
2026-03-10,8,34,42,47,55,83,4,42
2026-03-07,3,12,18,40,45,69,5,49
2026-03-06,4,17,22,37,50,88,20,2
2026-03-05,7,23,39,62,63,78,22,35
2026-03-03,4,16,42,48,56,68,26,83
2026-02-28,14,17,33,63,64,80,15,27
2026-02-27,10,14,49,55,71,79,80,36
2026-02-26,18,30,36,52,67,72,69,47
2026-02-24,4,18,23,26,45,87,82,29
2026-02-21,49,58,60,66,68,81,75,58
2026-02-20,30,34,41,42,49,83,64,77
2026-02-19,20,39,40,43,76,90,53,53
2026-02-17,16,21,42,45,52,88,58,21
2026-02-14,5,23,40,47,80,85,6,47
2026-02-13,1,52,57,71,76,83,37,3
2026-02-12,5,11,35,52,80,85,66,29
2026-02-10,1,15,29,39,63,83,73,21
2026-02-07,4,7,12,30,69,81,41,67
2026-02-06,6,8,17,31,36,75,90,82
2026-02-05,6,8,26,27,57,90,41,30
2026-02-03,11,16,17,41,42,46,70,57
2026-01-31,2,6,7,33,37,80,11,80
2026-01-30,32,33,39,40,52,86,63,16
2026-01-29,29,30,34,56,66,80,88,11
2026-01-27,11,19,27,31,54,84,38,37
2026-01-24,22,37,55,61,68,71,21,18
2026-01-23,2,6,11,19,88,90,69,52
2026-01-22,2,30,52,56,57,78,59,25
2026-01-20,8,13,25,60,72,74,78,34
2026-01-17,3,7,41,56,65,83,79,82
2026-01-16,14,21,24,52,80,86,57,14
2026-01-15,44,49,60,69,73,85,36,1
2026-01-13,20,29,56,68,72,74,35,50
2026-01-12,1,11,40,73,75,81,70,22
2026-01-10,11,19,24,66,82,88,58,48
2026-01-09,31,33,61,68,71,72,87,18
2026-01-08,35,42,45,53,55,88,66,52
2026-01-05,11,13,17,56,80,84,41,13
2026-01-03,16,30,32,43,68,76,36,58
2026-01-02,29,33,47,56,69,89,16,7
2025-12-30,6,9,17,20,60,67,1,73
2025-12-29,36,38,45,61,79,83,12,52
2025-12-27,8,19,20,41,74,84,45,74
2025-12-23,16,18,22,24,34,80,62,53
2025-12-22,2,14,28,36,78,85,17,11
2025-12-20,11,24,42,50,89,90,36,44
2025-12-19,16,52,60,75,81,88,40,49
2025-12-18,7,28,63,69,73,77,64,14
2025-12-16,2,18,24,35,41,84,44,20
2025-12-13,2,5,7,36,58,64,14,62
2025-12-12,7,21,35,38,64,80,29,87
2025-12-11,14,44,72,81,85,86,80,47
2025-12-09,8,31,51,65,78,79,26,77
2025-12-06,1,38,42,78,82,84,24,71
2025-12-05,10,19,29,30,56,71,76,13
2025-12-04,12,30,45,48,59,60,40,90
2025-12-02,5,17,28,59,70,90,27,66
2025-11-29,8,16,29,61,65,69,17,85
2025-11-28,1,12,20,21,42,58,84,34
2025-11-27,9,28,43,50,61,88,83,62
2025-11-25,18,20,21,23,40,43,52,10
2025-11-22,2,8,29,47,59,65,86,26
2025-11-21,12,14,18,53,84,86,72,35
2025-11-20,5,9,15,17,48,74,65,75
2025-11-18,18,40,54,83,85,89,4,57
2025-11-15,20,23,40,51,55,85,5,80
2025-11-14,26,38,43,46,72,73,45,45
2025-11-13,7,9,17,54,73,90,89,3
2025-11-11,3,37,42,59,63,84,49,64
2025-11-08,17,18,19,33,35,62,80,58
2025-11-07,5,24,32,67,82,88,43,89
2025-11-06,9,48,51,53,73,88,19,43
2025-11-04,5,18,28,38,44,76,23,89
2025-11-03,30,56,80,81,85,87,67,2
2025-10-31,8,30,32,61,67,85,22,9
2025-10-30,15,30,37,39,56,74,43,47
2025-10-28,8,25,40,54,58,63,50,63
2025-10-25,16,18,33,53,58,89,81,59
2025-10-24,5,12,23,31,84,90,68,77
2025-10-23,7,29,42,62,68,73,26,21
2025-10-21,4,9,14,33,36,77,66,15
2025-10-18,12,13,19,26,75,82,50,54
2025-10-17,2,9,10,32,66,77,72,44
2025-10-16,7,44,45,58,76,80,77,13
2025-10-14,9,31,44,59,70,86,37,81
2025-10-11,28,51,55,62,80,90,68,90
2025-10-10,20,38,42,61,81,82,16,80
2025-10-09,38,49,50,54,78,82,90,43
2025-10-07,17,21,40,56,61,79,87,85
2025-10-04,48,54,61,68,79,87,80,45
2025-10-03,2,4,69,75,79,88,12,7
2025-10-02,1,21,39,42,52,89,6,17
2025-09-30,5,8,71,74,77,81,34,70
2025-09-27,9,10,21,25,27,68,54,6
2025-09-26,2,17,23,39,58,82,75,6
2025-09-25,11,19,36,41,65,82,17,15
2025-09-23,1,6,20,43,59,73,58,89
2025-09-20,2,12,15,31,63,71,50,57
2025-09-19,11,16,23,31,49,78,63,13
2025-09-18,12,38,46,49,60,65,2,46
2025-09-16,1,12,26,44,51,90,72,45
2025-09-13,26,28,31,35,37,65,30,5
2025-09-12,29,33,44,52,63,65,19,84
2025-09-11,3,9,11,35,65,74,26,29
2025-09-09,34,47,71,73,82,90,49,52
2025-09-06,59,73,75,76,78,88,57,5
2025-09-05,9,39,47,52,71,82,83,52
2025-09-04,5,16,38,45,63,83,46,83
2025-09-02,16,19,28,44,60,78,9,73
2025-08-30,30,43,46,62,73,90,35,73
2025-08-29,18,22,32,34,52,56,62,45
2025-08-28,56,59,64,67,72,78,51,86
2025-08-26,12,23,25,34,41,63,21,20
2025-08-23,5,29,40,47,52,80,4,61
2025-08-22,7,25,38,39,66,69,17,24
2025-08-21,49,56,57,61,62,86,16,53
2025-08-19,5,10,51,62,77,81,74,58
2025-08-18,5,19,58,59,83,87,10,32
2025-08-16,6,15,25,31,72,79,54,31
2025-08-14,3,19,30,47,49,75,35,14
2025-08-12,7,11,26,59,82,83,24,54
2025-08-09,6,18,40,41,45,88,37,12
2025-08-08,8,34,38,53,78,79,58,37
2025-08-07,43,55,70,79,83,85,24,4
2025-08-05,6,31,57,60,65,80,12,71
2025-08-02,42,54,66,78,80,88,60,14
2025-08-01,9,25,27,36,54,86,45,31
2025-07-31,14,55,56,57,58,66,46,65
2025-07-29,13,27,31,60,65,75,39,69
2025-07-26,1,9,19,49,53,88,77,44
2025-07-25,15,16,17,36,62,83,7,31
2025-07-24,10,14,37,66,88,89,34,88
2025-07-22,3,8,44,52,69,85,11,67
2025-07-19,5,43,46,56,58,90,23,54
2025-07-18,20,37,50,70,75,88,46,16
2025-07-17,16,35,37,42,43,68,58,8
2025-07-15,4,10,14,48,58,83,47,63
2025-07-12,16,24,25,43,64,78,54,12
2025-07-11,1,31,40,62,64,74,81,11
2025-07-10,5,15,20,32,65,75,12,24
2025-07-08,1,33,40,61,64,73,15,48
2025-07-05,16,46,61,71,75,85,64,12
2025-07-04,26,45,58,65,70,82,27,73
2025-07-03,37,42,49,53,57,65,62,8
2025-07-01,6,9,25,28,75,79,83,20
2025-06-28,10,35,38,41,51,56,3,51
2025-06-27,25,49,54,55,62,73,4,86
2025-06-26,10,56,69,70,79,81,53,45
2025-06-24,2,23,32,36,63,64,37,76
2025-06-21,4,17,28,36,42,50,5,71
2025-06-20,34,67,76,77,86,90,40,43
2025-06-19,4,6,11,31,69,73,9,26
2025-06-17,17,48,52,58,86,87,74,49
2025-06-14,10,18,44,56,73,86,48,55
2025-06-13,8,23,25,48,78,83,80,39
